incident_number,cal_year,type_of_incident,cost_gbp,final_description,animal_group_parent,property_category,ward_code,ward,stn_ground_name,easting,northing
D202,2009,Special Service,260,"DOG TRAPPED UNDER CAR,B15",Dog,Road Vehicle,E05000088,Dollis Hill,West Hampstead,523050,186750
D203,2009,Special Service,260,"ROAD TRAFFIC ACCIDENT,B1",Dog,Road Vehicle,E05000122,Orpington,Orpington,546750,164550
D204,2009,Special Service,260,"DOG STUCK IN FOX HOLE,B15",Dog,Outdoor,E05011235,Barkingside,Hainault,543550,189450
C205,2009,Special Service,260,"CAT STUCK BEHIND TOILET,B15",Cat,Dwelling,E05011470,New Addington North,Addington,538050,162850
B206,2009,Special Service,1040,"ASSIST RSPCA WITH PIGEON TRAPPED IN CHIMNEY,B15",Bird,Dwelling,E05011241,Cranbrook,Ilford,542550,187150
B207,2009,Special Service,260,"ASSIST RSPCA WITH 2  DUCKLINGS TRAPPED BEWTEEN CAVITY WALL,B15",Bird,Non Residential,E05000341,Uxbridge South,Hillingdon,505250,184250
B208,2009,Special Service,260,"ASSIST RSPCA, B15",Bird,Outdoor Structure,E05000199,Enfield Lock,Enfield,537150,198350
C209,2009,Special Service,260,"ASSIST RSPCA WITH CAT UP A TREE,B15",Cat,Outdoor,E05000192,Walpole,Ealing,516950,179750
B210,2009,Special Service,260,"G561 RUNNING CALL TO PIGEON TRAPPED IN NETTING,B15,RC",Bird,Non Residential,E05000331,Heathrow Villages,Heathrow,507050,176850
C211,2009,Special Service,260,"KITTEN STUCK UNDER FLOORBOARDS  ,B15",Cat,Dwelling,E05000133,Frognal and Fitzjohns,West Hampstead,526550,185050
B212,2009,Special Service,260,"SMALL ANIMAL RESCUE - BIRD TRAPPED BETWEEN WALLS,B15",Bird,Dwelling,E05000033,Goresbrook,Dagenham,548250,184450
B213,2009,Special Service,260,"BIRD STUCK IN NETTING,B15",Bird,Dwelling,E05000060,Underhill,Barnet,524750,195450
B214,2009,Special Service,260,"BIRD TRAPPED IN NETTING,B15,RC",Bird,Outdoor,E05000408,Grove,Kingston,517750,169250
C215,2009,Special Service,260,"CAT STUCK BETWEEN TWO WALLS,B15",Cat,Non Residential,E05011223,Crook Log,Bexley,547950,175350
B216,2009,Special Service,260,"ANIMAL TRAPPED IN CHIMNEY BREAST,B15",Bird,Dwelling,E05000203,Jubilee,Edmonton,535650,194850
H217,2009,Special Service,520,"HORSE IN AQUEDUCT,J17",Horse,Outdoor,E05000607,Valley,Walthamstow,536350,191850
D218,2009,Special Service,260,"DOG CAUGHT IN BRAMBLES,B15",Dog,Outdoor,E05000593,Chingford Green,Chingford,540250,194850
C219,2009,Special Service,260,"CAT TRAPPED UNDER SHED,B15",Cat,Dwelling,E05000057,Mill Hill,Finchley,523950,191350
H220,2009,Special Service,260,"TWO HORSES FALLEN DOWN BANK AND INTO CANAL, J17",Horse,Outdoor,E05000607,Valley,Walthamstow,536250,191750
B221,2009,Special Service,260,"BIRD STUCK IN CHIMNEY,B15",Bird,Dwelling,E05000028,Becontree,Dagenham,547150,186850
D222,2009,Special Service,260,"PUPPY WITH HEAD STUCK IN FRONT IRON GATE    ,B15",Dog,Dwelling,E05000223,Kidbrooke with Hornfair,East Greenwich,541150,177050
B223,2009,Special Service,260,"ASSIST RSPCA WITH INJURED BIRDS,B2",Bird,Dwelling,E05000442,Downham,Bromley,539450,170750
C225,2009,Special Service,260,"CAT STUCK ON ROOF,B15",Cat,Dwelling,E05000466,Merton Park,Wimbledon,525050,169150
S226,2009,Special Service,260,"SQUIRREL TRAPPED IN GUTTERING,B15",Squirrel,Dwelling,E05000594,Endlebury,Chingford,537750,193450
C227,2009,Special Service,260,"CAT STUCK UP TREE BEING ATTACKED BY BIRDS,B15",Cat,Outdoor,E05000198,Enfield Highway,Enfield,535950,197650
C228,2009,Special Service,260,"CAT STUCK IN CONTAINER, B15, RC",Cat,Outdoor,E05009332,Shadwell,Shadwell,535150,181050
D229,2009,Special Service,260,"DOG TRAPPED AT REAR OF PROPERTY,B15",Dog,Outdoor,E05000066,Blackfen and Lamorbey,Eltham,545350,174250
D230,2009,Special Service,260,"DOG TRAPPED BEHIND RAILWAY LINE AND FENCE,B15",Dog,Outdoor,E05009373,Hackney Downs,Stoke Newington,534050,186150
C231,2009,Special Service,260,"ASSIST RSPCA WITH CAT UP TREE,B15",Cat,Dwelling,E05000125,Plaistow and Sundridge,Bromley,540350,170350
C232,2009,Special Service,260,"ASSIST RSPCA OFFICER WITH CAT STUCK UP TREE,B15",Cat,Outdoor,E05000192,Walpole,Ealing,516950,179750
B233,2009,Special Service,260,"BIRD TRAPPED, B15",Bird,Outdoor,E05000439,Brockley,Greenwich,537150,176550
B234,2009,Special Service,260,"ASSIST RSPCA,B15",Bird,Dwelling,E05000049,East Finchley,Finchley,526550,189750
C235,2009,Special Service,260,"ASSIST RSPCA WITH CAT STUCK UP TREE,B15",Cat,Outdoor,E05000125,Plaistow and Sundridge,Bromley,540350,170350
C236,2009,Special Service,260,"DOG TRAPPED IN CAT FLAP,B15",Cat,Dwelling,E05000592,Chapel End,Walthamstow,537350,190350
D237,2009,Special Service,260,"DOG WITH HEAD TRAPPED IN RAILINGS,B15",Dog,Outdoor Structure,E05000342,West Drayton,Hayes,506850,179250
B238,2009,Special Service,260,"BIRD TRAPPED IN CHIMNEY,B15",Bird,Dwelling,E05011479,Selhurst,Croydon,533050,167250
C240,2009,Special Service,260,"CAT TRAPPED IN GARDEN,B15",Cat,Dwelling,E05000260,Parsons Green and Walham,Fulham,525250,176650
B241,2009,Special Service,260,"PIGEON TRAPPED IN NETTING,B15",Bird,Non Residential,E05000408,Grove,Kingston,518150,169250
B242,2009,Special Service,260,"PIGEONS TRAPPED IN NETTING,B15",Bird,Non Residential,E05000408,Grove,Kingston,518150,169250
D243,2009,Special Service,260,"ASSIST RSPCA WITH DOG ON ROOF,B15",Dog,Dwelling,E05011244,Goodmayes,Ilford,546650,186850
C245,2009,Special Service,260,"KITTEN WITH HEAD TRAPPED BEHIND CUPBOARD,B15",Cat,Dwelling,E05000442,Downham,Bromley,540550,171750
B246,2009,Special Service,260,"ASSIST RSPCA WITH PIGEONS TRAPPED IN NETTING, B15",Bird,Non Residential,E05000200,Grange,Enfield,532850,196550
C247,2009,Special Service,260,"KITTENS STUCK UNDER FLOORBOARDS,B15",Cat,Dwelling,E05000490,Plaistow South,Plaistow,541050,182450
C248,2009,Special Service,260,"CAT STUCK BETWEEN WALLS, B15",Cat,Dwelling,E05011106,North Bermondsey,Dockhead,533850,179750
D249,2009,Special Service,780,"PUPPY STUCK IN DRAIN, B15",Dog,Dwelling,E05000177,Greenford Broadway,Southall,512550,182850
C250,2009,Special Service,260,"ASSIST RSPCA WITH CAT STUCK IN TREE,B15",Cat,Dwelling,E05011487,Waddon,Croydon,531950,164550
B251,2009,Special Service,260,"ASSIST RSPCA WITH BIRD FALLEN OUT OF NEST,B15",Bird,Dwelling,E05000131,Cantelowes,Kentish Town,529550,184350
C252,2009,Special Service,260,"KITTEN WITH HEAD STUCK IN LAMPOST,B15",Cat,Dwelling,E05000493,Wall End,East Ham,542950,184250
C253,2009,Special Service,260,"CAT TRAPPED IN HOLE,B15",Cat,Dwelling,E05000059,Totteridge,Finchley,525650,193050
D254,2009,Special Service,260,"DOG WITH HEAD TRAPPED IN RAILING,B15",Dog,Outdoor Structure,E05000519,"Ham, Petersham and Richmond Riverside",Richmond,518550,173650
D255,2009,Special Service,260,"DOG WITH HEAD STUCK IN GATE,B15",Dog,Dwelling,E05000559,Carshalton South and Clockhouse,Purley,528450,160150
C256,2009,Special Service,260,"CAT TRAPPED ON LEDGE OUTSIDE,B15",Cat,Dwelling,E05000209,Southgate Green,Southgate,530550,193150
D257,2009,Special Service,260,"DOG TRAPPED ON WINDOW LEDGE, B15",Dog,Dwelling,E05000051,Finchley Church End,Finchley,524950,190750
S258,2009,Special Service,260,"SNAKE TRAPPED IN PIPEWORK OF BATH, B15",Snake,Dwelling,E05011486,Thornton Heath,Norbury,532250,168650
C259,2009,Special Service,260,"CAT TRAPPED IN BODYWORK OF CAR,B15",Cat,Road Vehicle,E05000606,Markhouse,Walthamstow,537150,188750
D260,2009,Special Service,260,"INJURED DOG FALLEN DOWN GRASS VERGE,B15",Dog,Outdoor,E05009325,Lansbury,Poplar,538250,181350
H261,2009,Special Service,780,"PONY FALLEN INTO SEWAGE DUCT,B17",Horse,Outdoor,E05000600,Higham Hill,Walthamstow,537150,190950
B262,2009,Special Service,260,"ANIMAL STUCK DOWN CHIMNEY,B15",Bird,Dwelling,E05000603,Lea Bridge,Leyton,536850,187750
C263,2009,Special Service,260,"CAT STUCK UP TREE,B15",Cat,Outdoor,E05009400,Pembridge,Kensington,525050,180550
B264,2009,Special Service,260,"BIRD STUCK IN CHIMNEY,B15",Bird,Dwelling,E05011485,South Norwood,Woodside,533750,168650
B265,2009,Special Service,260,"PIGEON TRAPPED IN NETTING APPROXIMATELY 19 FEET FROM GROUND LEVEL,B15",Bird,Outdoor,E05000172,Dormers Wells,Southall,514150,181050
D266,2009,Special Service,260,"DOG FALLEN INTO RIVER,J15",Dog,Outdoor,E05000448,Lewisham Central,Lee Green,538750,175250
C267,2009,Special Service,260,"CAT BEHIND PIPES IN KITCHEN, B2",Cat,Dwelling,E05000276,Northumberland Park,Tottenham,534350,191450
C268,2009,Special Service,260,"KITTEN TRAPPED IN WASHING MACHINE,B15",Cat,Dwelling,E05011464,Bensham Manor,Norbury,532350,167950
B269,2009,Special Service,260,"RUNNING CALL TO SIX ABANDONED BABY DUCKINGS,B15,RC",Bird,Non Residential,E05000434,Thurlow Park,West Norwood,532250,172350
C270,2009,Special Service,260,"CAT TRAPPED BEHIND SINK,B15",Cat,Dwelling,E05000446,Ladywell,Lewisham,537550,176050
F271,2009,Special Service,520,"FOX STUCK IN WINDOW BASKET,B15",Fox,Dwelling,E05000637,Knightsbridge and Belgravia,Kensington,527050,179450
D272,2009,Special Service,260,"DOG TRAPPED IN POND,B15",Dog,Outdoor,E05000447,Lee Green,Lee Green,539650,174850
D273,2009,Special Service,260,"DOG STUCK BETWEEN SEATS OF CAR,B0",Dog,Road Vehicle,E05000267,Bounds Green,Hornsey,530750,191050
C274,2009,Special Service,260,"CAT TRAPPED BETWEEN WALLS,B15",Cat,Dwelling,E05000482,East Ham South,East Ham,542550,182250
C275,2009,Special Service,520,"CAT IMPALED ON FENCE, B15",Cat,Outdoor,E05000127,West Wickham,Beckenham,537850,166150
B276,2009,Special Service,260,"PIGEON TRAPPED IN NETTING,B15",Bird,Dwelling,E05000558,Carshalton Central,Wallington,528150,164950
B277,2009,Special Service,260,"PIGEON TRAPPED BEHIND CHIMNEY, B15",Bird,Dwelling,E05000604,Leyton,Leyton,538050,186550
C278,2009,Special Service,260,"CAT TRAPPED IN WIRE IN TREE,B15",Cat,Outdoor,E05011467,Crystal Palace & Upper Norwood,Norbury,532350,170150
C279,2009,Special Service,260,"CAT STUCK BETWEEN WALL AND DRAIN PIPE,B15",Cat,Non Residential,E05011469,Kenley,Purley,532450,160250
C280,2009,Special Service,260,"CAT TRAPPED IN TREE,B15",Cat,Outdoor,E05000043,Brunswick Park,Southgate,528750,193050
C281,2009,Special Service,260,"CAT COLLAPSED ON ROOF,B15",Cat,Dwelling,E05000277,St. Ann's,Tottenham,532950,188950
B283,2009,Special Service,260,"ASSIST RSPCA WITH GULL TRAPPED IN NETTING,B15",Bird,Dwelling,E05000636,Hyde Park,Paddington,527050,181450
D284,2009,Special Service,260,"DOG LOCKED IN CUPBOARD,B3",Dog,Dwelling,E05000108,Bromley Common and Keston,Orpington,542850,164750
D285,2009,Special Service,260,"DOG TRAPPED IN FENCE,B15",Dog,Outdoor Structure,E05000149,Broad Green,Croydon,531250,166850
C286,2009,Special Service,260,"KITTEN TRAPPED UNDER DECKING, B15",Cat,Non Residential,E05000452,Sydenham,Forest Hill,535650,171650
C287,2009,Special Service,260,KITTEN WITH HEAD STUCK IN JAR,Cat,Dwelling,E05000442,Downham,Bromley,539350,171450
C288,2009,Special Service,260,CAT STUCK UP TREE,Cat,Outdoor,E05000278,Seven Sisters,Tottenham,532950,188150
B289,2009,Special Service,260,BIRD TRAPPED IN DRAINPIPE,Bird,Outdoor Structure,E05000077,Lesnes Abbey,Erith,547750,178650
D290,2009,Special Service,260,DEER STUCK IN FENCE,Deer,Outdoor,E05000339,Townfield,Hillingdon,509550,181250
C291,2009,Special Service,260,CAT TRAPPED ON FENCE,Cat,Dwelling,E05000092,Kensal Green,Willesden,522350,183550
C292,2009,Special Service,260,CAT TRAPPED UNDER BUILDING FOUNDATIONS,Cat,Dwelling,E05000274,Muswell Hill,Hornsey,528850,189150
B293,2009,Special Service,260,INJURED PIGEON TRAPPED ON LEDGE,Bird,Non Residential,E05011246,Ilford Town,Ilford,544350,186650
D294,2009,Special Service,260,DOG LOCKED IN CAR,Dog,Non Residential,E05000532,West Twickenham,Twickenham,514650,172050
B295,2009,Special Service,260,DUCK TRAPPED BY FISHING LINE IN CENTRE OF LAKE,Bird,Outdoor,E05000116,Crystal Palace,Beckenham,534550,170450
B296,2009,Special Service,260,ASSIST RSPCA WITH BIRDS TRAPPED IN FISHING LINE ON POND,Bird,Outdoor,E05000418,Clapham Common,Clapham,528950,174650
B297,2009,Special Service,260,BIRD TRAPPED IN NEETING,Bird,Outdoor,E05000175,East Acton,Acton,521150,180450
C298,2009,Special Service,260,CAT IN PRECARIOUS POSITION. 3RD FLOOR WINDOW,Cat,Dwelling,E05009333,Spitalfields & Banglatown,Whitechapel,534450,182050
D299,2009,Special Service,260,DOG TRAPPED UNDER VAN WHEELARCH,Dog,Road Vehicle,E05000054,Hale,Mill Hill,520550,192550
C300,2009,Special Service,520,INJURED CAT IN PRECARIOUS POSITION,Cat,Dwelling,E05000649,West End,Soho,528250,180950
B301,2009,Special Service,260,BIRD TRAPPED IN GUTTERING,Bird,Dwelling,E05000306,Brooklands,Dagenham,550550,187450
B302,2009,Special Service,520,CROW STUCK IN WIRING,Bird,Outdoor,E05011482,Shirley North,Woodside,536550,166750
S303,2009,Special Service,260,UNKNOWN SNAKE IN HOUSE,Snake,Dwelling,E05000366,Barnsbury,Islington,531150,184050
F304,2009,Special Service,260,FOX TRAPPED IN FENCE,Fox,Dwelling,E05000329,Eastcote and East Ruislip,Ruislip,511350,188450
C305,2009,Special Service,260,CAT TRAPPED ON ROOF,Cat,Dwelling,E05011108,Nunhead & Queen's Road,New Cross,535050,176250
C306,2009,Special Service,260,CAT ON ROOF,Cat,Dwelling,E05000571,Wandle Valley,Wallington,528150,165850
C307,2009,Special Service,260,CAT TRAPPED IN CELLAR,Cat,Dwelling,E05000424,Knight's Hill,West Norwood,531250,172250
C308,2009,Special Service,520,CAT TRAPPED IN CAR BONNET,Cat,Road Vehicle,E05000546,Peckham,Peckham,533950,177150
D309,2009,Special Service,260,DOG WITH HEAD TRAPPED IN RAILINGS,Dog,Outdoor,E05000347,Brentford,Chiswick,518050,178050
D310,2009,Special Service,260,RUNNING CALL TO DOG IN PRECARIOUS POSITION,Dog,Dwelling,E05000379,St. Mary's,Islington,531450,184750
L311,2009,Special Service,260,PET LIZARD TRAPPED BEHIND RADIATOR,Lizard,Dwelling,E05000044,Burnt Oak,Mill Hill,520350,191450
S312,2009,Special Service,520,G371 RUNNING CALL TO UNKNOWN SNAKE IN BUILDING,Snake,Other Residential,E05000365,Turnham Green,Chiswick,520850,178650
D313,2009,Special Service,260,DOG IN WATER,Dog,Outdoor,E05000474,Wimbledon Park,Wimbledon,526250,171250
D314,2009,Special Service,260,DOG STUCK UNDER JETTY IN LAKE,Dog,Outdoor Structure,E05000030,Eastbrook,Dagenham,550950,186050
C315,2009,Special Service,NA,CAT TRAPPED UNDER FLOOR BOARDS,Cat,Dwelling,E05011485,South Norwood,Woodside,534250,168650
D316,2009,Special Service,520,DEER TRAPPED IN DITCH,Deer,Road Vehicle,E05000107,Biggin Hill,Biggin Hill,541250,159450
C317,2009,Special Service,260,CAT ON WINDOW LEDGE,Cat,Dwelling,E05009379,King's Park,Homerton,535850,186050
C318,2009,Special Service,260,CAT TRAPPED BETWEEN KITCHEN CUPBOARD,Cat,Dwelling,E05000042,Whalebone,Dagenham,547950,187650
C319,2009,Special Service,260,CAT TRAPPED BETWEEN FENCE BEHIND,Cat,Outdoor,E05000346,Bedfont,Feltham,509050,173850
D320,2009,Special Service,260,DOG ON WINDOW LEDGE,Dog,Dwelling,E05009371,De Beauvoir,Shoreditch,533450,184150
B321,2009,Special Service,260,BIRD TRAPPED ON WALL BY NETTING,Bird,Dwelling,E05000269,Crouch End,Hornsey,530150,188250
C322,2009,Special Service,260,KITTEN TRAPPED IN PEN,Cat,Dwelling,E05000405,Chessington South,Surbiton,517050,161550
C323,2009,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,Outdoor,E05000444,Forest Hill,Forest Hill,534450,172050
C324,2009,Special Service,260,CAT TRAPPED IN DRAIN,Cat,Dwelling,E05009327,Mile End,Bethnal Green,536350,182050
D325,2009,Special Service,260,DOG STUCK UNDER SHED,Dog,Non Residential,E05000477,Canning Town North,Plaistow,539450,181750
C326,2009,Special Service,520,CAT STUCK IN CAR ENGINE,Cat,Road Vehicle,E05000423,Herne Hill,Brixton,532050,175950
C327,2009,Special Service,260,DISTRESSED KITTEN STUCK UP TREE,Cat,Outdoor,E05000134,Gospel Oak,Kentish Town,527550,185150
B328,2009,Special Service,260,PIGEON TRAPPED IN FISHING LINE AND HANGING FROM TREE,Bird,Outdoor,E05000149,Broad Green,Croydon,532250,166450
C329,2009,Special Service,520,ASSIST RSPCA WITH CAT TRAPPED UNDER FLOORBOARDIS,Cat,Dwelling,E05000051,Finchley Church End,Finchley,524850,189750
H330,2009,Special Service,260,HORSE COLLAPSED,Horse,Road Vehicle,E05000516,Barnes,Hammersmith,522750,177850
C331,2009,Special Service,260,INJURED CAT STUCK AT TOP OF TREE,Cat,Dwelling,E05000224,Middle Park and Sutcliffe,Lee Green,540450,175650
B332,2009,Special Service,260,BIRD TRAPPED IN SKY LIGHT,Bird,Dwelling,E05000623,Shaftesbury,Clapham,528250,175350
C333,2009,Special Service,260,CAT STUCK IN BUILDING,Cat,Dwelling,E05000613,East Putney,Wandsworth,524450,174450
C334,2009,Special Service,260,"CAT TRAPPED UNDER OBJECT,",Cat,Dwelling,E05000627,Wandsworth Common,Tooting,527250,172650
D335,2009,Special Service,260,DOG TRAPPED IN LEAD,Dog,Dwelling,E05000366,Barnsbury,Islington,531350,183850
D336,2009,Special Service,260,DOG TRAPPED IN BARS OF GATE,Dog,Dwelling,E05000113,Copers Cope,Beckenham,537450,170850
D337,2009,Special Service,520,DOG STRANDED IN POND,Dog,Outdoor,E05000438,Blackheath,Lee Green,539850,176450
C338,2009,Special Service,260,CAT STUCK IN LOFT SPACE,Cat,Dwelling,E05011481,Selsdon Vale & Forestdale,Addington,536550,163050
C340,2009,Special Service,520,KITTEN TRAPPED BEHIND PIPING,Cat,Dwelling,E05011110,Peckham,Peckham,534250,176850
C342,2009,Special Service,260,CAT PAW TRAPPED UNDER FLOORBOARDS,Cat,Dwelling,E05000210,Town,Enfield,533450,197650
C343,2009,Special Service,260,CAT TRAPPED UNDER FLOORBOARDS,Cat,Dwelling,E05000063,Woodhouse,Finchley,526750,192750
D344,2009,Special Service,260,INJURED DOG TRAPPED BEHIND FENCE,Dog,Outdoor,E05000260,Parsons Green and Walham,Fulham,525950,177050
D345,2009,Special Service,260,ASSIST RSPCA WITH DOG STRANDED ON ROOF,Dog,Dwelling,E05000372,Highbury East,Stoke Newington,532050,186250
C346,2009,Special Service,260,ASSIST RSPCA  GET CAT FROM TREE,Cat,Outdoor,E05000182,Northfield,Ealing,517650,179250
F347,2009,Special Service,260,FOX TRAPPED IN METAL GATE,Fox,Outdoor,E05000616,Graveney,Tooting,527750,171650
C348,2009,Special Service,260,CAT FALLEN DOWN HOLE,Cat,Outdoor,E05000367,Bunhill,Shoreditch,532350,182650
B349,2009,Special Service,260,PIDGEON TRAPPED ON BALCONY,Bird,Dwelling,E05009324,Island Gardens,Millwall,537150,178850
B350,2009,Special Service,260,BIRD TRAPPED IN NETTING,Bird,Dwelling,E05000277,St. Ann's,Tottenham,531850,188550
C351,2009,Special Service,260,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,Dwelling,E05000618,Nightingale,Tooting,528250,173550
D352,2009,Special Service,260,DOG IN PRECAROUS POSITION,Dog,Dwelling,E05011235,Barkingside,Hainault,543650,189650
D353,2009,Special Service,260,DOG WITH LEG TRAPPED BEHIND RADIATOR,Dog,Dwelling,E05000629,West Putney,Wandsworth,523050,174950
C354,2009,Special Service,260,CAT TRAPPED IN TREE,Cat,Outdoor,E05011095,Borough & Bankside,Dowgate,532250,180250
D355,2009,Special Service,260,TWO DOGS IN TOILET   ELDERLY LADY INVOLVED,Dog,Dwelling,E05000108,Bromley Common and Keston,Orpington,542850,164750
C356,2009,Special Service,NA,KITTEN TRAPPED IN GUTTERING ON ROOF,Cat,Dwelling,E05000446,Ladywell,Lewisham,537450,176050
B358,2009,Special Service,260,GOOSE TRAPPED IN FISHING WIRE,Bird,Outdoor,E05000418,Clapham Common,Clapham,529150,174850
C359,2009,Special Service,260,CAT STUCK IN A CAR,Cat,Road Vehicle,E05000498,Chadwell,Ilford,547350,188650
D360,2009,Special Service,260,DOG IN THE RIVER,Dog,Outdoor,E05000262,Sands End,Fulham,525950,175750
C361,2009,Special Service,260,KITTEN STUCK BEHINED KITCHEN UNITS,Cat,Dwelling,E05000566,Sutton South,Sutton,525750,163450
C364,2009,Special Service,260,CAT STUCK BETWEEN WALLS,Cat,Dwelling,E05000254,Fulham Broadway,Fulham,525250,177850
C365,2009,Special Service,260,CAT TRAPPED BEHIND KITCHEN UNITS,Cat,Dwelling,E05009327,Mile End,Poplar,536950,181550
B366,2009,Special Service,260,ASSIST RSPCA WITH PIGEON TRAPPED IN RAILINGS,Bird,Outdoor Structure,E05000368,Caledonian,Holloway,530750,184750
D367,2009,Special Service,260,DOG WITH LEG TRAPPED IN METAL TABLE LEG,Dog,Dwelling,E05000135,Hampstead Town,West Hampstead,526750,185650
C369,2009,Special Service,260,FOX AND CAT TRAPPED IN BASEMENT AREA,Cat,Dwelling,E05000261,Ravenscourt Park,Hammersmith,522250,178650
C371,2009,Special Service,260,KITTEN TRAPPED IN PIPE,Cat,Dwelling,E05000484,Forest Gate South,Stratford,540550,184850
D372,2009,Special Service,260,DOG TRAPPED BETWEEN FENCE AND VAN,Dog,Dwelling,E05000110,Chelsfield and Pratts Bottom,Orpington,545350,165050
C373,2009,Special Service,260,CAT STUCK IN FENCE,Cat,Dwelling,E05000038,River,Dagenham,548750,184550
H374,2009,Special Service,1300,HORSE STUCK IN CANAL,Horse,Outdoor,E05000197,Edmonton Green,Edmonton,535750,192250
F375,2009,Special Service,260,FOX STUCK ON ROOF,Fox,Non Residential,E05000460,Figge's Marsh,Mitcham,527850,169150
C376,2009,Special Service,260,CAT IN PRECARIOUS POSITION,Cat,Dwelling,E05000368,Caledonian,Euston,530550,183050
C377,2009,Special Service,260,CAT TRAPPED IN BARBED WIRE,Cat,Dwelling,E05000476,Boleyn,East Ham,541850,182750
B378,2009,Special Service,520,PIGEON TANGLED IN WIRE AT FIRST FLOOR LEVEL,Bird,Dwelling,E05000199,Enfield Lock,Enfield,535850,198850
C379,2009,Special Service,260,KITTEN IN DISTRESS ON ROOF OF FLATS,Cat,Dwelling,E05009396,Golborne,North Kensington,524150,182150
B380,2009,Special Service,260,ASSIST RSPCA WITH PIDGEON TRAPPED IN WIRE IN TREE,Bird,Dwelling,E05000059,Totteridge,Barnet,524750,195250
